ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
SchmutzHöbarthen1952,Schmutz-Höbarthen 1952,1952,Hoamgaong. Gedichte in der Waldviertler Mundart,,Schmutz-Höbarthen,Franz,Wien,Europäischer Verl.,,1,,,,Literatur,Literar.Text,Gedichte
Schneider1963,Schneider 1963,1963,Romanische Entlehnungen in den Mundarten Tirols: ein dialektgeographischer Versuch,,Schneider,Elmar,Innsbruck,,,,,,,Literatur,,
Schönberger1866,Schönberger 1866,1866,Waldbleamaln. Gedichte in Oberösterreichischer Mundart.,[1. Aufl.] I. Heft,Schönberger,Anton,Wels,,,,,,,Literatur,Literar.Text,Gedichte
Schönberger1869,Schönberger 1869,1869,Waldbleamaln. Gedichte in Oberösterreichischer Mundart.,[1. Aufl.] II. Heft,Schönberger,Anton,Wels,,,,,,,Literatur,Literar.Text,Gedichte
Schönberger1882,Schönberger 1882,1882,Waldbleamaln. Gedichte in Oberösterreichischer Mundart.,"[I. Heft] 2., verm. Aufl.",Schönberger,Anton,Wels,,,,,,,Literatur,Literar.Text,Gedichte
Schultmayer1961,Schultmayer 1961,1961,Die Mundart von St. Leonhard am Hornerwald und seiner Umgebung. Diss. (masch.),,Schultmayer,Ilse,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Schützeichel2012,Schützeichel 2012,2012,"Althochdeutsches Wörterbuch. 7., durchgesehene und verbesserte Auflage",,Schützeichel,Rudolf,Berlin / Boston,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
SchwäbWb_3,Schwäb.Wb 1911,1911,Schwäbisches Wörterbuch. ,Band : G. H. ,Fischer,Hermann,Tübingen,Verlag der H. Laupp'schen Buchhandlung,,,,,,Literatur,Fachliteratur,Wörterbuch
Schwarz1963,Schwarz 1963,1963,Die Mundart von St. Anton an der Jessnitz im südwestlichen Niederösterreich. Diss.,,Schwarz,Gertrude,Wien,Dissertationen der Universität Wien,,,,,,Literatur,Fachliteratur,Dissertation
SchweizerischesId1881I,Schweizerisches Id. 1881 I,1881,Schweizerisches Idiotikon,Band 1: A–F,Staub/Tobler/Bachmann,Friedrich/Ludwig/Albert,Frauenfeld,J. Huber,,1,,,,Literatur,Fachliteratur,Wörterbuch
SchweizerischesId1885II,Schweizerisches Id. 1885 II,1885,Schweizerisches Idiotikon,Band 2: G–H,Staub/Tobler/Bachmann,Friedrich/Ludwig/Albert,Frauenfeld,J. Huber,,1,,,,Literatur,Fachliteratur,Wörterbuch
SchweizerischesId1895III,Schweizerisches Id. 1895 III,1895,Schweizerisches Idiotikon,Band 3: J–L,Staub/Tobler/Bachmann,Friedrich/Ludwig/Albert,Frauenfeld,J. Huber,,,,,,Literatur,Fachliteratur,Wörterbuch
SchweizerischesId1905V,Schweizerisches Id. 1905 V,1905,Schweizerisches Idiotikon,Band 5: Bl–Qu,Staub/Tobler/Bachmann,Friedrich/Ludwig/Albert,Frauenfeld,J. Huber,,1,,,,Literatur,Fachliteratur,Wörterbuch
SchweizerischesId1920VIII,Schweizerisches Id. 1920 VIII,1920,Schweizerisches Idiotikon,Band 8: Sch,Staub/Tobler/Bachmann,Friedrich/Ludwig/Albert,Frauenfeld,J. Huber,,,,,,Literatur,Fachliteratur,Wörterbuch
